red
1,50,0.5,40,,,0.25,0.25
2,50,1,40,,,0.5,0.75
3,50,1.5,40,,,0.75,1.5
4,50,2,40,,,1,2.5
5,50,1.5,40,,,0.75,3.25
6,50,1,40,,,0.5,3.75
7,75,0.5,40,STATION: SHADYSIDE,Left/Right,0.38,4.13
8,75,0,40,,,0,4.13
9,75,0,40,SWITCH TO/FROM YARD (75-YARD),,0,4.13
10,75,0,40,,,0,4.13
11,75,-0.5,40,,,-0.38,3.75
12,75,-1,40,,,-0.75,3
13,70,-2,40,,,-1.4,1.6
14,60,-1.25,40,,,-0.75,0.85
15,60,-1,40,,,-0.6,0.25
16,50,-0.5,40,SWITCH (16-1;16-15) | STATION; HERRON AVE,Left/Right,-0.25,0
17,200,-0.5,55,,,-1,-1
18,400,-0.06025,70,,,-0.24,-1.24
19,400,0,70,,,0,-1.24
20,200,0,70,,,0,-1.24
21,100,0,55,STATION; SWISSVILLE,Left/Right,0,-1.24
22,100,0,55,,,0,-1.24
23,100,0,55,,,0,-1.24
24,50,0,70,UNDERGROUND,,0,-1.24
25,50,0,70,STATION; PENN STATION; UNDERGROUND,Left/Right,0,-1.24
26,50,0,70,UNDERGROUND,,0,-1.24
27,50,0,70,SWITCH(27-28;27-76) ; UNDERGROUND,,0,-1.24
28,50,0,70,UNDERGROUND,,0,-1.24
29,60,0,70,UNDERGROUND,,0,-1.24
30,60,0,70,UNDERGROUND,,0,-1.24
31,50,0,70,UNDERGROUND,,0,-1.24
32,50,0,70,SWITCH(32-33;33-72) ; UNDERGROUND,,0,-1.24
33,50,0,70,UNDERGROUND,,0,-1.24
34,50,0,70,UNDERGROUND,,0,-1.24
35,50,0,70,STATION;     STEEL PLAZA; UNDERGROUND,Left/Right,0,-1.24
36,50,0,70,UNDERGROUND,,0,-1.24
37,50,0,70,UNDERGROUND,,0,-1.24
38,50,0,70,SWITCH(38-39;38-71) ; UNDERGROUND,,0,-1.24
39,50,0,70,UNDERGROUND,,0,-1.24
40,60,0,70,UNDERGROUND,,0,-1.24
41,60,0,70,UNDERGROUND,,0,-1.24
42,50,0,70,UNDERGROUND,,0,-1.24
43,50,0,70,SWITCH(43-44;44-67) ; UNDERGROUND,,0,-1.24
44,50,0,70,UNDERGROUND,,0,-1.24
45,50,0,70,STATION; FIRST AVE; UNDERGROUND,Left/Right,0,-1.24
46,75,0,70,UNDERGROUND,,0,-1.24
47,75,0,70,RAILWAY CROSSING,,0,-1.24
48,75,0,70,STATION; STATION SQUARE,Left/Right,0,-1.24
49,50,0,60,,,0,-1.24
50,50,0,60,,,0,-1.24
51,50,0,55,,,0,-1.24
52,43.2,0,55,SWITCH(52-53;52-66),,0,-1.24
53,50,0,55,,,0,-1.24
54,50,0,55,,,0,-1.24
55,75,0.5,55,,,0.38,-0.87
56,75,0.5,55,,,0.38,-0.49
57,75,0.5,55,,,0.38,-0.12
58,75,1,55,,,0.75,0.63
59,75,0.5,55,,,0.38,1.01
60,75,0,55,STATION; SOUTH HILLS JUNCTION,Left/Right,0,1.01
61,75,-0.5,55,,,-0.38,0.63
62,75,-1,55,,,-0.75,-0.12
63,75,-1,55,,,-0.75,-0.87
64,75,-0.5,55,,,-0.38,-1.24
65,75,0,55,,,0,-1.24
66,75,0,55,,,0,-1.24
67,50,0,55,UNDERGROUND,,0,-1.24
68,50,0,55,UNDERGROUND,,0,-1.24
69,50,0,55,UNDERGROUND,,0,-1.24
70,50,0,55,UNDERGROUND,,0,-1.24
71,50,0,55,UNDERGROUND,,0,-1.24
72,50,0,55,UNDERGROUND,,0,-1.24
73,50,0,55,UNDERGROUND,,0,-1.24
74,50,0,55,UNDERGROUND,,0,-1.24
75,50,0,55,UNDERGROUND,,0,-1.24
76,50,0,55,UNDERGROUND,,0,-1.24
